,accuracy,precision,recall,f1_score,num_features
All sensors,0.9928571428571429,0.9952153110047847,0.9952153110047847,0.9952153110047847,23.0
Without CO2,0.9928571428571429,0.9952153110047847,0.9952153110047847,0.9952153110047847,18.0
Without light,0.9892857142857143,0.9858490566037735,1.0,0.9928741092636579,18.0
Without microphone,0.9892857142857143,0.9858490566037735,1.0,0.9928741092636579,20.0
Only motion (PIR),0.7464285714285714,0.7464285714285714,1.0,0.8548057259713702,4.0
CO2 + PIR only,0.7464285714285714,0.7464285714285714,1.0,0.8548057259713702,9.0
